;0
random_0;1
random_1;1
random_10;1
random_100;1
random_101;2
random_102;1
random_103;1
random_104;1
random_105;1
random_106;1
random_107;1
random_108;2
random_109;1
random_11;1
random_110;1
random_111;1
random_112;1
random_113;1
random_114;1
random_115;1
random_116;1
random_117;1
random_118;1
random_119;1
random_12;1
random_120;1
random_121;1
random_122;1
random_123;1
random_124;1
random_125;1
random_126;1
random_127;1
random_128;1
random_129;1
random_13;1
random_130;1
random_131;1
random_132;1
random_133;1
random_134;1
random_135;1
random_136;1
random_137;1
random_138;1
random_139;1
random_14;1
random_140;1
random_141;1
random_142;1
random_143;1
random_144;1
random_145;1
random_146;1
random_147;1
random_148;1
random_149;1
random_15;3
random_150;1
random_151;1
random_152;1
random_153;1
random_154;1
random_155;1
random_156;1
random_157;1
random_158;1
random_159;1
random_16;1
random_160;1
random_161;1
random_162;1
random_163;1
random_164;1
random_165;1
random_166;1
random_167;1
random_168;1
random_169;2
random_17;1
random_170;1
random_171;1
random_172;1
random_173;1
random_174;1
random_175;1
random_176;1
random_177;1
random_178;1
random_179;1
random_18;1
random_180;1
random_181;1
random_182;1
random_183;1
random_184;1
random_185;1
random_186;1
random_187;1
random_188;3
random_189;1
random_19;1
random_190;1
random_191;1
random_192;1
random_193;1
random_194;1
random_195;1
random_196;1
random_197;1
random_198;1
random_199;1
random_2;1
random_20;3
random_200;1
random_201;1
random_202;1
random_203;1
random_204;1
random_205;1
random_206;1
random_207;1
random_208;1
random_209;1
random_21;1
random_210;1
random_211;1
random_212;1
random_213;1
random_214;1
random_215;1
random_216;1
random_217;1
random_218;1
random_219;1
random_22;1
random_220;1
random_221;1
random_222;1
random_223;1
random_224;1
random_225;1
random_226;1
random_227;1
random_228;1
random_229;1
random_23;1
random_230;1
random_231;1
random_232;2
random_233;1
random_234;1
random_235;1
random_236;1
random_237;1
random_238;1
random_239;1
random_24;1
random_240;1
random_241;1
random_242;1
random_243;1
random_244;1
random_245;1
random_246;1
random_247;1
random_248;1
random_249;1
random_25;2
random_250;1
random_251;1
random_252;1
random_253;1
random_254;1
random_255;1
random_256;1
random_257;2
random_258;1
random_259;2
random_26;1
random_260;1
random_261;1
random_262;1
random_263;1
random_264;1
random_265;2
random_266;1
random_267;1
random_268;1
random_269;1
random_27;1
random_270;1
random_271;1
random_272;1
random_273;1
random_274;1
random_275;1
random_276;2
random_277;1
random_278;1
random_279;2
random_28;1
random_280;1
random_281;1
random_282;1
random_283;1
random_284;1
random_285;1
random_286;1
random_287;1
random_288;1
random_289;1
random_29;2
random_290;1
random_291;1
random_292;1
random_293;1
random_294;1
random_295;1
random_296;1
random_297;1
random_298;1
random_299;1
random_3;1
random_30;1
random_300;1
random_301;1
random_302;1
random_303;1
random_304;1
random_305;1
random_306;1
random_307;1
random_308;1
random_309;1
random_31;1
random_310;1
random_311;1
random_312;1
random_313;1
random_314;1
random_315;1
random_316;1
random_317;1
random_318;1
random_319;1
random_32;1
random_320;1
random_321;1
random_322;1
random_323;1
random_324;1
random_325;1
random_326;1
random_327;1
random_328;1
random_329;1
random_33;1
random_330;1
random_331;1
random_332;1
random_333;1
random_334;1
random_335;1
random_336;1
random_337;1
random_338;1
random_339;1
random_34;1
random_340;1
random_341;1
random_342;1
random_343;1
random_344;2
random_345;1
random_346;1
random_347;1
random_348;1
random_349;1
random_35;1
random_350;1
random_351;1
random_352;1
random_353;1
random_354;1
random_355;1
random_356;2
random_357;1
random_358;1
random_359;1
random_36;1
random_360;1
random_361;1
random_362;1
random_363;1
random_364;1
random_365;2
random_366;1
random_367;1
random_368;1
random_369;1
random_37;1
random_370;1
random_371;1
random_372;1
random_373;1
random_374;1
random_375;1
random_376;1
random_377;1
random_378;1
random_379;1
random_38;2
random_380;1
random_381;1
random_382;1
random_383;1
random_384;1
random_385;1
random_386;1
random_387;1
random_388;1
random_389;1
random_39;1
random_390;1
random_391;1
random_392;1
random_393;1
random_394;1
random_395;1
random_396;1
random_397;1
random_398;1
random_399;1
random_4;1
random_40;1
random_400;1
random_401;1
random_402;1
random_403;1
random_404;1
random_405;1
random_406;1
random_407;1
random_408;1
random_409;1
random_41;1
random_410;1
random_411;1
random_412;1
random_413;1
random_414;1
random_415;1
random_416;1
random_417;1
random_418;1
random_419;1
random_42;1
random_420;1
random_421;1
random_422;1
random_423;1
random_424;1
random_425;1
random_426;1
random_427;1
random_428;1
random_429;1
random_43;1
random_430;1
random_431;1
random_432;1
random_433;1
random_434;1
random_435;1
random_436;1
random_437;1
random_438;1
random_439;1
random_44;1
random_440;1
random_441;1
random_442;1
random_443;1
random_444;1
random_445;1
random_446;1
random_447;1
random_448;1
random_449;1
random_45;1
random_450;1
random_451;1
random_452;1
random_453;1
random_454;1
random_455;1
random_456;1
random_457;1
random_458;1
random_459;1
random_46;1
random_460;1
random_461;1
random_462;1
random_463;1
random_464;1
random_465;1
random_466;2
random_467;1
random_468;2
random_469;1
random_47;1
random_470;1
random_471;1
random_472;1
random_473;1
random_474;1
random_475;1
random_476;1
random_477;1
random_478;1
random_479;1
random_48;1
random_480;1
random_481;1
random_482;1
random_483;1
random_484;1
random_485;1
random_486;1
random_487;1
random_488;1
random_489;1
random_49;1
random_490;1
random_491;1
random_492;1
random_493;1
random_494;1
random_495;1
random_496;1
random_497;1
random_498;1
random_499;1
random_5;1
random_50;1
random_500;1
random_501;1
random_502;1
random_503;1
random_504;1
random_505;1
random_506;1
random_507;1
random_508;1
random_509;1
random_51;1
random_510;1
random_511;1
random_512;1
random_513;1
random_514;1
random_515;1
random_516;1
random_517;1
random_518;1
random_519;1
random_52;1
random_520;1
random_521;2
random_522;1
random_523;1
random_524;1
random_525;1
random_526;1
random_527;1
random_528;1
random_529;1
random_53;1
random_530;1
random_531;1
random_532;1
random_533;1
random_534;1
random_535;1
random_536;1
random_537;1
random_538;1
random_539;1
random_54;1
random_540;1
random_541;1
random_542;1
random_543;1
random_544;1
random_545;1
random_546;1
random_547;1
random_548;1
random_549;1
random_55;1
random_550;1
random_551;1
random_552;1
random_553;1
random_554;1
random_555;1
random_556;1
random_557;1
random_558;1
random_559;1
random_56;1
random_560;1
random_561;1
random_562;1
random_563;1
random_564;1
random_565;1
random_566;1
random_567;1
random_568;1
random_569;1
random_57;1
random_570;1
random_571;1
random_572;2
random_573;1
random_574;1
random_575;1
random_576;1
random_577;1
random_578;1
random_579;1
random_58;1
random_580;2
random_581;1
random_582;1
random_583;1
random_584;1
random_585;1
random_586;1
random_587;1
random_588;1
random_589;1
random_59;1
random_590;1
random_591;1
random_592;1
random_593;1
random_594;1
random_595;1
random_596;1
random_597;1
random_598;1
random_599;1
random_6;1
random_60;1
random_600;2
random_601;1
random_602;1
random_603;1
random_604;1
random_605;1
random_606;1
random_607;1
random_608;1
random_609;1
random_61;1
random_610;1
random_611;2
random_612;1
random_613;1
random_614;1
random_615;1
random_616;1
random_617;1
random_618;1
random_619;1
random_62;1
random_620;2
random_621;1
random_622;1
random_623;1
random_624;1
random_625;1
random_626;1
random_627;1
random_628;1
random_629;1
random_63;1
random_630;1
random_631;1
random_632;1
random_633;1
random_634;1
random_635;1
random_636;1
random_637;1
random_638;1
random_639;1
random_64;1
random_640;1
random_641;1
random_642;1
random_643;1
random_644;1
random_645;1
random_646;1
random_647;1
random_648;1
random_649;1
random_65;1
random_650;4
random_651;1
random_652;1
random_653;1
random_654;1
random_655;1
random_656;1
random_657;1
random_658;1
random_659;1
random_66;1
random_660;1
random_661;1
random_662;1
random_663;1
random_664;1
random_665;1
random_666;1
random_667;1
random_668;1
random_669;1
random_67;1
random_670;1
random_671;1
random_672;1
random_673;1
random_674;1
random_675;1
random_676;1
random_677;1
random_678;1
random_679;2
random_68;1
random_680;1
random_681;1
random_682;1
random_683;1
random_684;1
random_685;1
random_686;1
random_687;1
random_688;1
random_689;1
random_69;1
random_690;1
random_691;1
random_692;1
random_693;1
random_694;1
random_695;1
random_696;1
random_697;1
random_698;1
random_699;1
random_7;1
random_70;1
random_700;1
random_701;1
random_702;1
random_703;1
random_704;2
random_705;1
random_706;1
random_707;1
random_708;1
random_709;1
random_71;1
random_710;1
random_711;1
random_712;1
random_713;1
random_714;1
random_715;1
random_716;1
random_717;1
random_718;1
random_719;1
random_72;1
random_720;1
random_721;1
random_722;1
random_723;1
random_724;1
random_725;1
random_726;1
random_727;1
random_728;1
random_729;1
random_73;1
random_730;1
random_731;1
random_732;1
random_733;1
random_734;1
random_735;1
random_736;2
random_737;1
random_738;1
random_739;1
random_74;1
random_740;1
random_741;1
random_742;1
random_743;1
random_744;2
random_745;1
random_746;1
random_747;1
random_748;3
random_749;1
random_75;1
random_750;1
random_751;1
random_752;1
random_753;1
random_754;1
random_755;1
random_756;1
random_757;1
random_758;1
random_759;1
random_76;1
random_760;1
random_761;1
random_762;1
random_763;1
random_764;1
random_765;2
random_766;1
random_767;1
random_768;1
random_769;2
random_77;1
random_770;1
random_771;1
random_772;1
random_773;1
random_774;3
random_775;1
random_776;1
random_777;1
random_778;1
random_779;1
random_78;1
random_780;1
random_781;1
random_782;1
random_783;1
random_784;1
random_785;1
random_786;1
random_787;1
random_788;1
random_789;1
random_79;1
random_790;1
random_791;1
random_792;1
random_793;1
random_794;1
random_795;1
random_796;1
random_797;1
random_798;1
random_799;1
random_8;2
random_80;1
random_800;1
random_801;1
random_802;1
random_803;1
random_804;1
random_805;1
random_806;1
random_807;1
random_808;1
random_809;1
random_81;1
random_810;1
random_811;1
random_812;1
random_813;1
random_814;1
random_815;1
random_816;1
random_817;1
random_818;1
random_819;1
random_82;1
random_820;1
random_821;1
random_822;1
random_823;1
random_824;1
random_825;1
random_826;1
random_827;1
random_828;1
random_829;1
random_83;1
random_830;1
random_831;1
random_832;1
random_833;1
random_834;1
random_835;1
random_836;1
random_837;1
random_838;1
random_839;1
random_84;1
random_840;1
random_841;1
random_842;1
random_843;1
random_844;1
random_845;1
random_846;1
random_847;1
random_848;1
random_849;1
random_85;1
random_850;1
random_851;1
random_852;1
random_853;1
random_854;1
random_855;1
random_856;1
random_857;1
random_858;1
random_859;1
random_86;1
random_860;1
random_861;1
random_862;1
random_863;1
random_864;1
random_865;1
random_866;1
random_867;2
random_868;1
random_869;1
random_87;1
random_870;1
random_871;1
random_872;1
random_873;1
random_874;1
random_875;1
random_876;2
random_877;1
random_878;1
random_879;1
random_88;1
random_880;1
random_881;1
random_882;1
random_883;1
random_884;1
random_885;1
random_886;1
random_887;1
random_888;1
random_889;1
random_89;1
random_890;1
random_891;1
random_892;1
random_893;1
random_894;1
random_895;1
random_896;1
random_897;1
random_898;1
random_899;1
random_9;1
random_90;1
random_900;1
random_901;1
random_902;1
random_903;1
random_904;1
random_905;1
random_906;1
random_907;1
random_908;1
random_909;1
random_91;1
random_910;1
random_911;1
random_912;1
random_913;1
random_914;1
random_915;1
random_916;1
random_917;1
random_918;1
random_919;2
random_92;1
random_920;1
random_921;1
random_922;1
random_923;1
random_924;1
random_925;1
random_926;1
random_927;1
random_928;1
random_929;1
random_93;1
random_930;1
random_931;2
random_932;1
random_933;1
random_934;1
random_935;1
random_936;1
random_937;1
random_938;1
random_939;1
random_94;1
random_940;2
random_941;1
random_942;1
random_943;1
random_944;1
random_945;1
random_946;1
random_947;1
random_948;1
random_949;1
random_95;1
random_950;1
random_951;1
random_952;1
random_953;1
random_954;1
random_955;1
random_956;1
random_957;1
random_958;1
random_959;1
random_96;2
random_960;2
random_961;1
random_962;1
random_963;1
random_964;1
random_965;1
random_966;3
random_967;1
random_968;2
random_969;1
random_97;1
random_970;1
random_971;1
random_972;1
random_973;1
random_974;1
random_975;1
random_976;1
random_977;1
random_978;1
random_979;1
random_98;1
random_980;1
random_981;1
random_982;1
random_983;1
random_984;1
random_985;1
random_986;1
random_987;1
random_988;1
random_989;1
random_99;1
random_990;1
random_991;2
random_992;1
random_993;1
random_994;1
random_995;1
random_996;1
random_997;1
random_998;1
random_999;1
