iteration;w_s;Non Food;Non Perishable A;Non Perishable B;Non Perishable C;Non Perishable D;Perishable A;Perishable B;medoid_0;medoid_1;medoid_2;medoid_3;cluster_size_0;cluster_size_1;cluster_size_2;cluster_size_3;iem;optimization;clustering;repetition
0;0.11408519359808582;0.1486707537952537;0.1253000809216158;0.11326817393468144;0.088067694135561;0.13426592896451614;0.09096390915257357;0.18537826549771252;2415919136;64238008546;29330907490;1073872896;57;334;194;87;;;;random_0
1;0.3213706583755633;0.11903814318268968;0.017556143254973008;0.27872367736218245;0.15140872368796396;0.0725830103446137;0.006198745360259357;0.03312089843175478;2415919136;64238008546;28995354722;1073881088;70;262;221;119;-7.82967874559583;0.109375;0.046875;random_0
2;0.2366789100818342;0.1819432033667347;0.02595492144120827;0.25233527557337193;0.12282527776671816;0.1402530047885955;0.006348029328823759;0.033661377652713445;2415919136;64238008546;28995354722;1073881088;78;248;227;119;-7.868228516877907;0.125;0.046875;random_0
3;0.2500791569798219;0.2354027773027801;0.014862273932091507;0.2486842722487812;0.05416282486031248;0.14072914265149306;0.02574566700541392;0.030333885019305878;2415919104;64238008546;29540626658;1073881088;60;202;292;118;-7.879603300198212;0.09375;0.046875;random_0
4;0.2366789100818342;0.1819432033667347;0.02595492144120827;0.25233527557337193;0.12282527776671816;0.1402530047885955;0.006348029328823759;0.033661377652713445;2415919104;64238008546;29540626658;1073881088;61;201;296;114;-7.870035798354139;0.140625;0.046875;random_0
5;0.2366789100818342;0.1819432033667347;0.02595492144120827;0.25233527557337193;0.12282527776671816;0.1402530047885955;0.006348029328823759;0.033661377652713445;2415919104;64238008546;29540626658;1073881088;61;201;296;114;-7.87014013304223;0.125;;random_0
0;0.2230943142573634;0.08876925228049985;0.18328959226317257;0.12244267836512651;0.13150607973995737;0.21428175474110944;0.016445318155662837;0.020171010197108017;536871040;1073872896;52617676800;29544099954;35;78;171;388;;;;random_1
1;0.22103738533750877;0.09897927894087459;0.1405391727087729;0.2020718870880258;0.05455944957114942;0.2717547839492319;0.003921606738696804;0.007136435665739789;536871040;1073872896;52617676800;29544099954;33;71;162;406;-7.804939590067061;0.109375;0.0625;random_1
2;0.22103738533750877;0.09897927894087459;0.1405391727087729;0.2020718870880258;0.05455944957114942;0.2717547839492319;0.003921606738696804;0.007136435665739789;536871040;1073872896;52617676800;29544099954;33;71;162;406;-7.812776399831194;0.109375;;random_1
0;0.10822950194210952;0.14099952599637086;0.021833392552064484;0.23569143729881853;0.19284980200941512;0.09032859058704758;0.17809393668812418;0.031973812926049804;536871040;3221233696;29272453184;27384742018;39;142;250;241;;;;random_10
1;0.37340059868882525;0.034454710893647704;0.021988553198505963;0.4433429767374552;0.03507017768372346;0.0141831083682436;0.0738558143111319;0.0037040601184669896;536871040;3489800192;29609828464;27382657282;61;201;181;229;-7.790677055181314;0.109375;0.078125;random_10
2;0.22350086628715765;0.0027692807665022075;0.05262966994137647;0.43884178522662964;0.04310337257013177;0.00745609202988119;0.05762348469859703;0.17407544847972403;34896611456;3489800192;29609828464;27382657282;77;181;196;218;-7.872729996951555;0.125;0.046875;random_10
3;0.22350086628715765;0.0027692807665022075;0.05262966994137647;0.43884178522662964;0.04310337257013177;0.00745609202988119;0.05762348469859703;0.17407544847972403;34896611456;3489800192;29609828464;27382657282;77;181;195;219;-7.877766989863728;0.125;0.046875;random_10
4;0.22350086628715765;0.0027692807665022075;0.05262966994137647;0.43884178522662964;0.04310337257013177;0.00745609202988119;0.05762348469859703;0.17407544847972403;34896611456;3489800192;29609828464;27382657282;77;181;195;219;-7.877799114204812;0.125;;random_10
0;0.15108994594523184;0.24378534003112792;0.0835712452060656;0.17508396875411358;0.03457496843894646;0.1879164807572236;0.07592085597706041;0.04805719489023067;536871040;3289002016;3489792000;61746587714;47;188;105;332;;;;random_11
1;0.1630698429893746;0.00407268318921882;0.09797735637200568;0.2025790815233156;0.07132255533094715;0.3329994162083449;0.0012882034078602433;0.12669086097893295;536871040;3289002016;3489792000;61746587714;55;194;110;313;-7.7890374887096465;0.15625;0.0625;random_11
2;0.09498590198239189;0.007689443366208946;0.10897705822302128;0.08311941671988932;0.17371738825196714;0.37435627241092406;0.022322878163480872;0.1348316408821165;536871040;3289002016;3489800192;26847871042;87;223;130;232;-7.8198857951872665;0.125;0.046875;random_11
3;0.26946361781101474;0.03886223182218241;0.02955019113925462;0.24673198379809547;0.016334519378810565;0.331373999816132;0.010641640622309857;0.05704181561220017;1073881088;3289002016;3489800192;27395191234;114;153;107;298;-7.84238789920202;0.125;0.046875;random_11
4;0.1630698429893746;0.00407268318921882;0.09797735637200568;0.2025790815233156;0.07132255533094715;0.3329994162083449;0.0012882034078602433;0.12669086097893295;1073881088;3289002016;3489800192;27395191234;107;162;109;294;-7.903527130920497;0.171875;0.046875;random_11
5;0.1630698429893746;0.00407268318921882;0.09797735637200568;0.2025790815233156;0.07132255533094715;0.3329994162083449;0.0012882034078602433;0.12669086097893295;1073881088;3289002016;3489800192;27395191234;107;162;109;294;-7.906279772640873;0.125;;random_11
0;0.1435609441755931;0.004921730015495125;0.20289989563132566;0.001149313093622308;0.16590935378399868;0.06608993129700884;0.17995365780355352;0.23551517419940277;536870928;63969831266;35970360448;12079726626;35;308;138;191;;;;random_12
1;0.2677303786097921;0.020821418733827708;0.1309434283642039;0.044348506896247884;0.0725488034381294;0.12558217175148012;0.04092145886326013;0.29710383334305895;536870928;63969831266;35978881152;3556909088;38;293;144;197;-7.739526266363907;0.109375;0.0625;random_12
2;0.28285602862283515;0.2537776207989907;0.0451233842292053;0.02450298610495382;0.05022252087045374;0.006392669873997028;0.004814088301972496;0.3323107011975916;1610747920;63969831266;12616605858;3556909088;59;255;149;209;-7.786146858104558;0.125;0.046875;random_12
3;0.11087684162754623;0.27886963336158577;0.08188371305838223;0.086645741524473;0.12310991386830243;0.012388078847863998;0.0028737857519388807;0.30335229195990754;1610747920;63969831266;10200678530;3556909088;56;290;162;164;-7.784428508834817;0.109375;0.0625;random_12
4;0.11087684162754623;0.27886963336158577;0.08188371305838223;0.086645741524473;0.12310991386830243;0.012388078847863998;0.0028737857519388807;0.30335229195990754;1610747920;63969831266;10200678530;3556909088;56;290;163;163;-7.785482043676721;0.109375;0.0625;random_12
5;0.11087684162754623;0.27886963336158577;0.08188371305838223;0.086645741524473;0.12310991386830243;0.012388078847863998;0.0028737857519388807;0.30335229195990754;1610747920;63969831266;10200678530;3556909088;56;290;163;163;-7.785607637183457;0.109375;;random_12
0;0.05579214832119081;0.12922472055354275;0.1327874324500045;0.12834878286636378;0.05003435679203865;0.21368941678985753;0.10028450329915845;0.18983863892784364;536870928;10200678592;64238008546;1073881088;32;125;425;90;;;;random_13
1;0.24051670106423326;0.10803860455853402;0.06435873706075253;0.038666387797796874;0.07680485741520178;0.1812362136059049;0.015252579926485698;0.27512591857109087;536870928;10200678530;63969831266;1073881088;40;149;359;124;-7.766915718360454;0.109375;0.0625;random_13
2;0.3076469953297204;0.09220441931162156;0.012594904878318753;0.09049487347217217;0.17444898553748314;0.048363992212911135;0.0031122340942089;0.27113359516356395;536870928;10200678530;63969831266;1073881088;37;172;330;133;-7.796095124262987;0.125;0.0625;random_13
3;0.21428589541206375;0.03850264745552643;0.007539037285081897;0.22972256631134122;0.07607587607166283;0.06326123335143365;0.04619793582267232;0.3244148082902179;536870928;10200678530;63969831266;1073881088;37;180;313;142;-7.785999887384209;0.125;0.046875;random_13
4;0.2308093585983686;0.12859103137220315;0.012810719944813947;0.2926995990654124;0.00829441579153979;0.08442058700028815;0.0014980813812954942;0.2408762068460784;536871040;10200678530;63969831266;1073881088;63;138;338;133;-7.795914493862107;0.140625;0.046875;random_13
5;0.22350086628715765;0.0027692807665022075;0.05262966994137647;0.43884178522662964;0.04310337257013177;0.00745609202988119;0.05762348469859703;0.17407544847972403;536871040;9730928642;63969831266;1073881088;68;135;315;154;-7.857733517345595;0.109375;0.046875;random_13
6;0.22350086628715765;0.0027692807665022075;0.05262966994137647;0.43884178522662964;0.04310337257013177;0.00745609202988119;0.05762348469859703;0.17407544847972403;536871040;9730928642;63969831266;1073881088;68;135;315;154;-7.880077232450276;0.109375;0.046875;random_13
7;0.22350086628715765;0.0027692807665022075;0.05262966994137647;0.43884178522662964;0.04310337257013177;0.00745609202988119;0.05762348469859703;0.17407544847972403;536871040;9730928642;63969831266;1073881088;68;135;315;154;-7.880077232450276;0.125;;random_13
0;0.13339007919825738;0.05672096348107715;0.15519052451155035;0.07561329411816448;0.16802560045992326;0.11084822274612922;0.16814615371747194;0.13206516176742628;536871040;64238008546;1073881088;11811291234;46;355;108;163;;;;random_14
1;0.36058692699641404;0.1826515475810058;0.014537541264830256;0.07828041392767143;0.12523712250024482;0.11823644696230072;0.0013103795896898783;0.1191596211778431;536871040;64238008546;1073881088;11811168290;54;335;83;200;-7.795606525382897;0.125;0.046875;random_14
2;0.23992456160785972;0.12006441414870732;0.01978625301337231;0.08363368697574342;0.15340255175144507;0.19609671057717268;0.0022166257565251458;0.18487519616917433;536871040;64238008546;1073881088;11811168290;68;326;99;179;-7.825806237553346;0.140625;0.046875;random_14
3;0.33597208630531344;0.002063422117053113;0.011202789176663045;0.14980857875033882;0.03211680569071669;0.23199127118887408;0.0020651476000380026;0.23477989917100295;536871040;64238008546;1073881088;11811168290;68;341;94;169;-7.830616816511526;0.109375;0.0625;random_14
4;0.32429386405129795;0.004157040430867142;0.0014156520110912357;0.10095164322477827;0.02919755662595877;0.35921252053944347;0.04187065942688594;0.13890106368967722;536871040;64165719234;1073881088;28991226146;59;244;122;247;-7.82107388291514;0.125;0.046875;random_14
5;0.1630698429893746;0.00407268318921882;0.09797735637200568;0.2025790815233156;0.07132255533094715;0.3329994162083449;0.0012882034078602433;0.12669086097893295;536871040;63700088898;1073881088;11811168290;63;267;104;238;-7.834372842209174;0.140625;0.0625;random_14
6;0.1630698429893746;0.00407268318921882;0.09797735637200568;0.2025790815233156;0.07132255533094715;0.3329994162083449;0.0012882034078602433;0.12669086097893295;536871040;63700088898;1073881088;11811168290;63;267;104;238;-7.848442447304024;0.109375;0.0625;random_14
7;0.1630698429893746;0.00407268318921882;0.09797735637200568;0.2025790815233156;0.07132255533094715;0.3329994162083449;0.0012882034078602433;0.12669086097893295;536871040;63700088898;1073881088;11811168290;63;267;104;238;-7.848442447304024;0.125;;random_14
0;0.17360262844264218;0.12000098837955407;0.22885577736986673;0.1541506122588734;0.10145731304982097;0.14515109909943447;0.004594236487028784;0.07218734491277927;536871040;64238008546;1073872896;2147483680;50;443;104;75;;;;random_15
1;0.2380546354771868;0.11173900989189237;0.026105787627590093;0.2538020055267487;0.04185444016434565;0.24887557479368702;0.006384928033296779;0.07318361848525257;536871040;64238008546;1073881088;2147483680;47;421;123;81;-7.820041489463633;0.125;0.0625;random_15
