iteration;w_s;Non Food;Non Perishable A;Non Perishable B;Non Perishable C;Non Perishable D;Perishable A;Perishable B;medoid_0;medoid_1;medoid_2;medoid_3;cluster_size_0;cluster_size_1;cluster_size_2;cluster_size_3;iem;optimization;clustering;repetition
0;0.11408519359808582;0.1486707537952537;0.1253000809216158;0.11326817393468144;0.088067694135561;0.13426592896451614;0.09096390915257357;0.18537826549771252;536871040;64170768450;1073881088;28996407394;87;266;87;274;;;;random_0
1;0.22981236824301193;0.06474314081029917;0.05554132337516681;0.016073467164186665;0.18053825708676366;0.2551802717984384;0.02254044521833937;0.17557072630379392;536871040;64170768450;1073881088;28996407394;85;235;116;278;-7.768582285234311;0.09375;0.046875;random_0
2;0.08365946100027769;0.041121742231133386;0.09186568040930077;0.044696011818012756;0.21723168090227032;0.3311928691550277;0.0033295270512081624;0.18690302743276893;536871040;64170768450;1073881088;28996407394;90;223;109;292;-7.808047493510338;0.109375;0.03125;random_0
3;0.08365946100027769;0.041121742231133386;0.09186568040930077;0.044696011818012756;0.21723168090227032;0.3311928691550277;0.0033295270512081624;0.18690302743276893;536871040;64170768450;1073881088;28996407394;90;223;109;292;-7.815308292269374;0.09375;;random_0
0;0.2230943142573634;0.08876925228049985;0.18328959226317257;0.12244267836512651;0.13150607973995737;0.21428175474110944;0.016445318155662837;0.020171010197108017;536871040;29626151266;37849540608;9663815682;53;374;145;142;;;;random_1
1;0.1630698429893746;0.00407268318921882;0.09797735637200568;0.2025790815233156;0.07132255533094715;0.3329994162083449;0.0012882034078602433;0.12669086097893295;1073881088;63967486435;37849540608;9663815682;122;348;106;138;-7.802977506503013;0.09375;0.046875;random_1
2;0.1630698429893746;0.00407268318921882;0.09797735637200568;0.2025790815233156;0.07132255533094715;0.3329994162083449;0.0012882034078602433;0.12669086097893295;1073881088;63967486435;37849540608;9663815682;122;348;106;138;-7.863159030365604;0.109375;0.03125;random_1
3;0.1630698429893746;0.00407268318921882;0.09797735637200568;0.2025790815233156;0.07132255533094715;0.3329994162083449;0.0012882034078602433;0.12669086097893295;1073881088;63967486435;37849540608;9663815682;122;348;106;138;-7.863159030365604;0.09375;;random_1
0;0.10822950194210952;0.14099952599637086;0.021833392552064484;0.23569143729881853;0.19284980200941512;0.09032859058704758;0.17809393668812418;0.031973812926049804;9126805634;1073872896;29874139362;63894399010;80;121;275;238;;;;random_10
1;0.2500791569798219;0.2354027773027801;0.014862273932091507;0.2486842722487812;0.05416282486031248;0.14072914265149306;0.02574566700541392;0.030333885019305878;10200686722;1073881088;29874139362;63894399010;116;130;240;228;-7.766495517642075;0.078125;0.046875;random_10
2;0.2500791569798219;0.2354027773027801;0.014862273932091507;0.2486842722487812;0.05416282486031248;0.14072914265149306;0.02574566700541392;0.030333885019305878;10200686722;1073881088;29874139362;63894399010;116;130;240;228;-7.802382101513649;0.09375;0.046875;random_10
3;0.2500791569798219;0.2354027773027801;0.014862273932091507;0.2486842722487812;0.05416282486031248;0.14072914265149306;0.02574566700541392;0.030333885019305878;10200686722;1073881088;29874139362;63894399010;116;130;240;228;-7.802382101513649;0.09375;;random_10
0;0.009322162219970603;0.14911270249531897;0.0951737754178372;0.08797196308702855;0.18865973877286468;0.16527333083460805;0.22245139665832375;0.08203493051404832;8589934594;1073872896;61837109634;29530468850;34;94;258;328;;;;random_100
1;0.15327154459146458;0.12251249812649354;0.009935448491731592;0.21772143737176688;0.010188139232239685;0.23756620542048096;0.246592494195501;0.0022122325703216677;8589934594;1073872896;61837109634;29530468850;37;109;249;319;-7.724883958767318;0.09375;0.03125;random_100
2;0.25067162020166966;0.13807812054782104;0.00966208608013539;0.11362187247195794;0.10079865523936674;0.3315865703446904;0.008683647960810802;0.04689742715354797;9663815682;1073881088;61752899778;29600669922;109;101;210;294;-7.795950147464632;0.078125;0.03125;random_100
