VisitID;ALCOHOLS AND TOBACCO;BABY PRODUCTS;BREAD;CARBS NP;CARBS P;CHEESE;CONDIMENTS NP;CONDIMENTS P;DESSERTS;EGGS;FRUITS AND VEGETABLES NP;FRUITS AND VEGETABLES P;GRAINS;HOT DRINKS;MEAT AND FISH NP;MEAT AND FISH P;MILK;NON FOOD;PERSONAL CARE;PET ARTICLES;PREPARED MEALS NP;PREPARED MEALS P;SNACKS;SOFT DRINKS NP;SOFT DRINKS P;SPREAD NP;SPREAD P;SWEETS;WASHING AND CLEANING
receipt_45;1;0;1;0;0;1;1;1;1;0;0;0;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;1;0
receipt_46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
receipt_47;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
receipt_48;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0
receipt_49;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0
receipt_50;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
receipt_51;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
receipt_52;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
receipt_53;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
receipt_54;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
receipt_55;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
receipt_56;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
receipt_57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
receipt_58;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;1;1;1;0;0;0;1;0;1;1;0;0;1;0
receipt_59;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
receipt_60;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
receipt_61;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0
receipt_62;0;0;1;0;0;1;1;1;0;1;0;1;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;1;0
receipt_63;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
receipt_64;1;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;1;0
receipt_65;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
receipt_66;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
receipt_67;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
receipt_68;1;0;1;0;1;1;1;0;0;1;1;1;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;1
receipt_69;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;1;0
receipt_70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
receipt_71;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
receipt_72;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
